"year","平均/納稅單位","前10%","前5%","前1%","前0.1%","底層90%","前10%至前5%","前5%至前1%","前0.1%至前0.01%"
"1979","362.79","479.93","931.65","2786.71","10410.28","125.64","245.64","367","1939.65"
"1980","351.91","467.35","905.83","2697.53","10188.39","127.82","236.48","357.72","1865.21"
"1981","361.24","477.87","906.17","2672.54","10320.02","129.68","244.61","370.8","1822.82"
"1982","409.86","543.84","1020.14","2784.02","10472.36","137.25","275.89","424.76","1929.76"
"1983","444.1","588.67","1101.93","2905.56","9656.55","148.7","299.53","460.35","2155.45"
"1984","511.75","679.68","1284.32","3439.85","12046.57","162.73","343.83","528.52","2483.55"
"1985","565.59","754.6","1428.22","4021.2","15635.65","169.22","376.58","586.2","2730.71"
"1986","610.09","809.23","1517.12","4145.98","14658.59","182.72","410.95","632.26","2977.91"
"1987","696.56","935.07","1860.64","6274.57","29801.83","198.73","458.06","703.67","3660.43"
"1988","750.69","1007.57","1972.68","5990.11","22954.87","220.84","493.8","766.3","4105.14"
"1989","902.93","1229.64","2543.13","8876.67","41226.25","246.67","576.21","901.27","5282.27"
"1990","1022.5","1380.29","2711.48","8540.98","33825.3","273.03","664.72","1047.49","5731.61"
"1991","1121.97","1521.31","3083.15","11093.94","55002.78","300.97","722.62","1130.85","6215.18"
"1992","1179.71","1575.43","3017.18","9132.48","36262.43","321.7","783.99","1214.99","6118.04"
"1993","1216.74","1604.81","3047.34","9092.22","36204.9","351.66","828.67","1244.18","6079.7"
"1994","1319.65","1744.24","3357.97","9291.14","39782.62","365.44","895.07","1340.81","5903.19"
"1995","1353.05","1793.48","3428.53","10439.75","42797.58","371.81","912.62","1384.72","6844.43"
"1996","1373.36","1819.27","3436.84","10075.9","39655.66","370.71","927.46","1414.87","6789.26"
"1997","1437.88","1913.46","3691.17","11082.84","42453.64","385.19","962.31","1469.03","7597.2"
"1998","1566.72","2101.74","4086.09","12666.98","50228.53","393.26","1031.7","1605.65","8493.47"
"1999","1544.19","2080.89","4109.51","12953.47","50753.36","406.05","1007.49","1573.73","8753.48"
"2000","1662.45","2270.32","4702.58","16472.97","70199.6","405.61","1054.59","1662.25","10503.35"
"2001","1691.39","2312.62","4754.07","16637.26","72713.9","389.59","1070.16","1702.26","10406.52"
"2002","1465.67","2003.17","4130.13","14849.54","67989.9","372.35","928.18","1471.42","8945.05"
"2003","1485.07","2052.79","4402.19","17246.37","81869.95","367.38","917.35","1465.44","10065.98"
"2004","1543.31","2128.75","4442.48","15695.84","67618.26","369.82","957.87","1550.31","9926.69"
"2005","1651.78","2296.6","4884.67","17905.56","79458.22","366.03","1006.96","1649.58","11066.38"
"2006","1656.43","2305.43","4913.74","18086.04","81350.85","365.38","1007.44","1653.35","11056.61"
"2007","1804.41","2533.54","5509.56","20597.23","90063.93","367.86","1075.28","1789.53","12878.71"
"2008","1860.9","2616.7","5745.54","22085.94","100026.89","354.31","1105.1","1834.49","13425.83"
"2009","1528.1","2113.15","4380.53","14864.26","62016.45","333.9","943.04","1546.31","9625.13"
"2010","1727.31","2428.16","5314.79","19966.97","90891.69","335.4","1026.46","1706.5","12086.45"
"2011","1886.25","2661.53","5882.55","22539.12","103104.49","347.28","1110.97","1856.28","13587.41"
"2012","1967.09","2737.04","5821.07","21274.99","93289.16","353.26","1197.14","1966.04","13273.42"
"2013","1805.9","2506.05","5298.86","19169.39","83379.07","350.8","1105.75","1807.85","12034.98"
